"","County","Waterbody.Name","Station.Name","WBIC","Site.Seq.No","Swims.Station.Id","Fishkill.Inv.Seq.No","Investigation.Start.Date","Season","Season1","Year","Stream.Miles.or.Lake.Acres.Affected","Confidence.Of.Cause.Code","Cause.Category","Cause.Type","Primary.Land.Use","Mortality.Code","Detail.Cause.Type","Investigation.Start.Month","Cause.Category.4","Min.Kill.Size","Sunnies","Bluegill","Crappie","Bass","Bullhead","Suckerfish","Trout","Gizzard.Shad","Round.Goby","Cisco","Pike","Snail","Muskies","Walleye","Carp","Sheapshead","Perch","Catfish","Sculpin","Stickleback","Minnow","Bigmouth.Buffalo","Pumpkinseed","Drum","Darter","Dace","Chub","Crayfish","Redhorse","Frogs","Sunfish","Golden.Shiner","Blowfin","Dogfish","Sturgeon","X..Fish.Species.Confirmed","Panfish","Game.Fish","Estimated.Numeric.Kill.Size","Activity.Desc","Recommended.Action.Desc","Fish.Kill.Comment"
"11","BARRON","PRAIRIE LAKE","PRAIRIE LAKE_GENERAL LAKE STATION",2094100,122916,10000658,1397,"08-Jun-2009","Summer","Summer",2009,1534,"SUSPECTED","NATURAL","INFECTIOUS AGENTS","Ag, residential, wooded","SELECTIVE","COLUMNARIS","Jun","INFECTIOUS AGENT","Large Number","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,"UNKNOWN","UNKNOWN",506.8,"","",""
"12","BARRON","RICE LAKE","RICE LAKE_GENERAL LAKE STATION",2103900,122942,10000650,1176,"16-Jun-2008","Summer","Summer",2008,939,"SUSPECTED","NATURAL","INFECTIOUS AGENTS","Urban","SELECTIVE","COLUMNARIS","Jun","INFECTIOUS AGENT","Fair Number","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0,"1","UNKNOWN",287.8,"","None","Technicians-Spangler and Stanley observed modest number of dead panfish during 2008 panfish netting. Columanris suspected."
"13","BARRON","RICE LAKE","RICE LAKE_GENERAL LAKE STATION",2103900,122942,10000650,1461,"22-Jun-2009","Summer","Summer",2009,939,"SUSPECTED","NATURAL","INFECTIOUS AGENTS","Res, Ag","SELECTIVE","COLUMNARIS","Jun","INFECTIOUS AGENT","Fair Number","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2,"UNKNOWN","UNKNOWN",287.8,"","","Technican Spangler reports dead crappie and bluegill from Rice Lake during recent Rice Lake High School Educational Day.  Attribute kill to columnaris."
"14","BARRON","RICE LAKE","RICE LAKE_GENERAL LAKE STATION",2103900,122942,10000650,1725,"01-Jun-2010","Summer","Summer",2010,939,"SUSPECTED","NATURAL","INFECTIOUS AGENTS","","SELECTIVE","COLUMNARIS","Jun","INFECTIOUS AGENT","Fair Number","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0,"1","UNKNOWN",287.8,"","","Columnaris typically on Rice Lake this time of the year and many lakes in local area are also experiencing similiar columnaris outbreaks."
"15","BARRON","RICE LAKE","RICE LAKE_GENERAL LAKE STATION",2103900,122942,10000650,2263,"13-Jun-2011","Summer","Summer",2011,939,"SUSPECTED","NATURAL","INFECTIOUS AGENTS","","SELECTIVE","COLUMNARIS","Jun","INFECTIOUS AGENT","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0,"UNKNOWN","UNKNOWN",237.8,"","","Call handled by Brian Spangler in Barron.  Symptoms and duration explained."
"16","BARRON","STAPLES LAKE","STAPLES LAKE_GENERAL LAKE STATION",2631200,113289,10000647,455,"31-May-2007","Summer","Winter",2007,305,"SUSPECTED","NATURAL","INFECTIOUS AGENTS","Forested/Ag","SELECTIVE","COLUMNARIS","May","INFECTIOUS AGENT","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0,"UNKNOWN","UNKNOWN",111,"","",""
"17","BARRON","UPPER VERMILLION LAKE","UPPER VERMILLION LAKE_GENERAL LAKE STATION",2098800,121707,10000774,1640,"22-Feb-2010","Winter","Winter",2010,98,"KNOWN","NATURAL","ENVIRONMENTAL CONDITION","Ag","SELECTIVE","DISSOLVED OXYGEN","Feb","WINTERKILL","Few","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0,"UNKNOWN","UNKNOWN",44.6,"","Follow up with spring fish survey.","Received reports from anglers and landowners of dead fish near the north end spring inlet area on 2-22-2010.   Fish Technician Stanley investigated oxygen levels on the same day report was received.  Oxygen levels very low (1.0ppm or less), however no dead fish were observed.  The lake has a history of fish winterkill.  Not much can be done to rectify situation unless local support and funds were available to operate and maintain an aeration system."
"18","BAYFIELD","LINE LAKE","LINE LAKE_GENERAL LAKE STATION",2766700,111229,10001608,3287,"08-May-2013","Summer","Winter",2013,10,"SUSPECTED","NATURAL","ENVIRONMENTAL CONDITION","","SELECTIVE","DISSOLVED OXYGEN","May","WINTERKILL","Fair Number","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0,"UNKNOWN","UNKNOWN",102,"","None","Apparent winterkill based on description"
"19","BAYFIELD","WHITE RIVER","WHITE RIVER  - WHITE RIVER - INDEX STATION",2892500,127249,10010401,3411,"30-Aug-2013","Summer","Summer",2013,15,"SUSPECTED","NATURAL","ENVIRONMENTAL CONDITION","","SELECTIVE","DIRECT TEMPERATURE STRESS","Aug","SUMMERKILL","Fair Number","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,"UNKNOWN","UNKNOWN",103,"None","None","Two phone calls on August 28th indicated counting approximately 80 dead brown trout from Sutherland Bridge to approximatley 1 mile downstream of Goldberg's landing."
"20","BROWN","FOX RIVER","FOX RIVER",117900,104447,104447,722,"14-Jun-2007","Summer","Summer",2007,0.1,"SUSPECTED","ANTHROPOGENIC","ENVIRONMENTAL CONDITION","Urban/ Industrial","SELECTIVE","ANTHROPOGENIC CONDITION","Jun","ANTHROPOGENIC CONDITION","Excludable","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,"UNKNOWN","UNKNOWN",0,"Walleye live release fishing tournament on June 9-10.","Prohibit the use of this urban park for weigh in of summer fishing tournaments.",""
"21","BROWN","FOX RIVER","FOX RIVER - BELOW DE PERE DAM AT LOCKS",117900,979,53211,682,"22-Apr-2008","Summer","Winter",2008,1,"UNKNOWN","UNKNOWN","UNKNOWN","Residental and industrial","SELECTIVE","VHS","Apr","INFECTIOUS AGENT","Excludable","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,"UNKNOWN","UNKNOWN",0,"Anglers","","I collected this walleye that was 23 inches for VHS testing"
"22","BROWN","FOX RIVER","FOX RIVER -- FOX POINT LAUNCH",117900,21768,10019188,2479,"17-Oct-2011","Winter","Winter",2011,37,"SUSPECTED","NATURAL","ENVIRONMENTAL CONDITION","Industrial, Residential","TOTAL","DIRECT TEMPERATURE STRESS","Oct","WINTERKILL","Large Number","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,"UNKNOWN","UNKNOWN",237,"","","Hundreds of dead Gizzard Shad were found from DePere upstrem past Combined Locks"
"23","BROWN","FOX RIVER","FOX RIVER AT LITTLE RAPIDS, WI",117900,1149,53486,2599,"13-Mar-2012","Winter","Winter",2012,1,"KNOWN","NATURAL","ENVIRONMENTAL CONDITION","","SELECTIVE","COMPOUND ENVIRONMENTAL STRESS","Mar","WINTERKILL","Excludable","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,"UNKNOWN","UNKNOWN",0,"Residential","",""
"24","BROWN","LAKE MICHIGAN","GREEN BAY - BAYSHORE PARK",20,37057303,10031621,1859,"11-Aug-2010","Summer","Summer",2010,1,"SUSPECTED","NATURAL","ENVIRONMENTAL CONDITION","Boat Landing, Beach, Breakwater","SELECTIVE","DISSOLVED OXYGEN","Aug","SUMMERKILL","Fair Number","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,"UNKNOWN","UNKNOWN",100.2,"Swimmers and boat ramp traffic","None","All but 1 of the fish were round goby. 1 spottail shiner"
"25","BROWN","TWIN HILL CREEK","TWIN HILL CREEK",89600,104440,104440,63,"19-Aug-2005","Summer","Summer",2005,3,"KNOWN","ANTHROPOGENIC","TOXICITY","Agriculture","TOTAL","ANTHROPOGENIC CONDITION","Aug","ANTHROPOGENIC CONDITION","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0,"UNKNOWN","UNKNOWN",53,"Agriculture, golfcourse, low density residental","none",""
"26","BROWN","UNNAMED SINGLE-LINE STREAM T23N-R21E-S15","UNNAMED TRIB 200FT DS OF DORSET DR",5018176,51228391,10034354,2399,"12-Aug-2011","Summer","Summer",2011,2,"UNKNOWN","NOT INVESTIGATED","UNKNOWN","Residental","SELECTIVE","ANTHROPOGENIC CONDITION","Aug","ANTHROPOGENIC CONDITION","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0,"UNKNOWN","UNKNOWN",50.4,"Residental","none",""
"27","BUFFALO","LITTLE BEAR CREEK","LITTLE BEAR CREEK",2048000,104422,104422,58,"13-Jul-2005","Summer","Summer",2005,4.7,"KNOWN","ANTHROPOGENIC","TOXICITY","Agriculture","SELECTIVE","ANTHROPOGENIC CONDITION","Jul","ANTHROPOGENIC CONDITION","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0,"UNKNOWN","UNKNOWN",50.94,"Heavey equipment operation and expansion of a dairy farm along Weisenbeck Valley Creek.","To be determined",""
"28","BUFFALO","UNNAMED SINGLE-LINE STREAM T23N-R13W-S2","WEISENBECK VALLEY CREEK",2048500,104421,104421,56,"13-Jul-2005","Summer","Summer",2005,0.96,"KNOWN","ANTHROPOGENIC","TOXICITY","Agriculture","TOTAL","ANTHROPOGENIC CONDITION","Jul","ANTHROPOGENIC CONDITION","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0,"UNKNOWN","UNKNOWN",50.96,"Heavy equipment operation and expansion of a dairy farm.","To be determined",""
"29","BURNETT","BASS LAKE","BASS LAKE_GENERAL LAKE STATION",2675000,109090,10001940,2060,"07-Jun-2011","Summer","Summer",2011,207,"SUSPECTED","NATURAL","ENVIRONMENTAL CONDITION","","SELECTIVE","DISSOLVED OXYGEN","Jun","SUMMERKILL","Fair Number","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0,"UNKNOWN","UNKNOWN",141.4,"","This was not a complete winterkill, no action necessary.","Likely winterkill reported by Jon Rivard.  Only one pump on the aerator was operating this winter.  Winterkill seemed to hit largemouth bass hardest."
"30","BURNETT","BIG DOCTOR LAKE","BIG DOCTOR LAKE_GENERAL LAKE STATION",2453400,109131,10001671,443,"31-May-2007","Summer","Winter",2007,212,"SUSPECTED","NATURAL","INFECTIOUS AGENTS","residential forestry","SELECTIVE","COLUMNARIS","May","INFECTIOUS AGENT","Fair Number","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0,"1","UNKNOWN",142.4,"nothing suspicious","none",""
"31","BURNETT","BIG DOCTOR LAKE","BIG DOCTOR LAKE_GENERAL LAKE STATION",2453400,109131,10001671,1148,"13-Jun-2008","Summer","Summer",2008,212,"SUSPECTED","NATURAL","INFECTIOUS AGENTS","residential and wetlands","SELECTIVE","COLUMNARIS","Jun","INFECTIOUS AGENT","Large Number","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,"UNKNOWN","UNKNOWN",242.4,"nothing unusual","None","Columnaris has been observed here before"
"32","BURNETT","BIG DOCTOR LAKE","BIG DOCTOR LAKE_GENERAL LAKE STATION",2453400,109131,10001671,1394,"02-Jun-2009","Summer","Summer",2009,150,"SUSPECTED","NATURAL","INFECTIOUS AGENTS","","SELECTIVE","COLUMNARIS","Jun","INFECTIOUS AGENT","Large Number","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0,"1","1",230,"no industrial or agriculture nearby","none","columnaris is pretty much annual event here. No site visit made"
